CodePoint,LongName
0x00E1,\[AAcute]
0x0101,\[ABar]
0x0103,\[ACup]
0x00E4,\[ADoubleDot]
0x00E6,\[AE]
0x00E0,\[AGrave]
0x00E2,\[AHat]
0xF728,\[Akuz]
0x2135,\[Aleph]
0xF764,\[AliasDelimiter]
0xF768,\[AliasIndicator]
0xF760,\[AlignmentMarker]
0x03B1,\[Alpha]
0xF7D1,\[AltKey]
0x2227,\[And]
0xF729,\[Andy]
0x2220,\[Angle]
0x212B,\[Angstrom]
0x2652,\[AquariusSign]
0x2648,\[AriesSign]
0x00E5,\[ARing]
0x22F0,\[AscendingEllipsis]
0x00E3,\[ATilde]
0xF3A8,\[AutoLeftMatch]
0xF3AE,\[AutoOperand]
0xF3A4,\[AutoPlaceholder]
0xF3A9,\[AutoRightMatch]
0xF3AD,\[AutoSpace]
0x2216,\[Backslash]
0x266B,\[BeamedEighthNote]
0x266C,\[BeamedSixteenthNote]
0x2235,\[Because]
0x2136,\[Bet]
0x03B2,\[Beta]
0x265D,\[BlackBishop]
0x265A,\[BlackKing]
0x265E,\[BlackKnight]
0x265F,\[BlackPawn]
0x265B,\[BlackQueen]
0x265C,\[BlackRook]
0x02D8,\[Breve]
0x2022,\[Bullet]
0x0107,\[CAcute]
0x264B,\[CancerSign]
0x2322,\[Cap]
0x00C1,\[CapitalAAcute]
0x0100,\[CapitalABar]
0x0102,\[CapitalACup]
0x00C4,\[CapitalADoubleDot]
0x00C6,\[CapitalAE]
0x00C0,\[CapitalAGrave]
0x00C2,\[CapitalAHat]
0x0391,\[CapitalAlpha]
0x00C5,\[CapitalARing]
0x00C3,\[CapitalATilde]
0x0392,\[CapitalBeta]
0x0106,\[CapitalCAcute]
0x00C7,\[CapitalCCedilla]
0x010C,\[CapitalCHacek]
0x03A7,\[CapitalChi]
0x0394,\[CapitalDelta]
0x010E,\[CapitalDHacek]
0xF74B,\[CapitalDifferentialD]
0x03DC,\[CapitalDigamma]
0x00C9,\[CapitalEAcute]
0x0112,\[CapitalEBar]
0x0114,\[CapitalECup]
0x00CB,\[CapitalEDoubleDot]
0x00C8,\[CapitalEGrave]
0x011A,\[CapitalEHacek]
0x00CA,\[CapitalEHat]
0x0395,\[CapitalEpsilon]
0x0397,\[CapitalEta]
0x00D0,\[CapitalEth]
0x0393,\[CapitalGamma]
0x00CD,\[CapitalIAcute]
0x012C,\[CapitalICup]
0x00CF,\[CapitalIDoubleDot]
0x00CC,\[CapitalIGrave]
0x00CE,\[CapitalIHat]
0x0399,\[CapitalIota]
0x039A,\[CapitalKappa]
0x03DE,\[CapitalKoppa]
0x039B,\[CapitalLambda]
0x0141,\[CapitalLSlash]
0x039C,\[CapitalMu]
0x0147,\[CapitalNHacek]
0x00D1,\[CapitalNTilde]
0x039D,\[CapitalNu]
0x00D3,\[CapitalOAcute]
0x0150,\[CapitalODoubleAcute]
0x00D6,\[CapitalODoubleDot]
0x0152,\[CapitalOE]
0x00D2,\[CapitalOGrave]
0x00D4,\[CapitalOHat]
0x03A9,\[CapitalOmega]
0x039F,\[CapitalOmicron]
0x00D8,\[CapitalOSlash]
0x00D5,\[CapitalOTilde]
0x03A6,\[CapitalPhi]
0x03A0,\[CapitalPi]
0x03A8,\[CapitalPsi]
0x0158,\[CapitalRHacek]
0x03A1,\[CapitalRho]
0x03E0,\[CapitalSampi]
0x0160,\[CapitalSHacek]
0x03A3,\[CapitalSigma]
0x03DA,\[CapitalStigma]
0x03A4,\[CapitalTau]
0x0164,\[CapitalTHacek]
0x0398,\[CapitalTheta]
0x00DE,\[CapitalThorn]
0x00DA,\[CapitalUAcute]
0x0170,\[CapitalUDoubleAcute]
0x00DC,\[CapitalUDoubleDot]
0x00D9,\[CapitalUGrave]
0x00DB,\[CapitalUHat]
0x03A5,\[CapitalUpsilon]
0x016E,\[CapitalURing]
0x039E,\[CapitalXi]
0x00DD,\[CapitalYAcute]
0x0396,\[CapitalZeta]
0x017D,\[CapitalZHacek]
0x2651,\[CapricornSign]
0x00E7,\[CCedilla]
0x00B8,\[Cedilla]
0x00A2,\[Cent]
0x00B7,\[CenterDot]
0x22EF,\[CenterEllipsis]
0x010D,\[CHacek]
0x2612,\[CheckedBox]
0x2713,\[Checkmark]
0x2611,\[CheckmarkedBox]
0x03C7,\[Chi]
0x2299,\[CircleDot]
0x2296,\[CircleMinus]
0x2295,\[CirclePlus]
0x2297,\[CircleTimes]
0x2232,\[ClockwiseContourIntegral]
0x201D,\[CloseCurlyDoubleQuote]
0x2019,\[CloseCurlyQuote]
0x2318,\[CloverLeaf]
0x2663,\[ClubSuit]
0x2236,\[Colon]
0xF76A,\[CommandKey]
0x3000,\[COMPATIBILITYKanjiSpace]
0xF3A2,\[COMPATIBILITYNoBreak]
0xF3D3,\[Conditioned]
0x2261,\[Congruent]
0xF3C8,\[Conjugate]
0xF3C9,\[ConjugateTranspose]
0xF7DA,\[ConstantC]
0xF3B1,\[Continuation]
0xF3D9,\[ContinuedFractionK]
0x222E,\[ContourIntegral]
0xF763,\[ControlKey]
0x2210,\[Coproduct]
0x00A9,\[Copyright]
0x2233,\[CounterClockwiseContourIntegral]
0xF4A0,\[Cross]
0x221B,\[CubeRoot]
0x2323,\[Cup]
0x224D,\[CupCap]
0xF3D8,\[Curl]
0x03D2,\[CurlyCapitalUpsilon]
0x03B5,\[CurlyEpsilon]
0x03F0,\[CurlyKappa]
0x03C6,\[CurlyPhi]
0x03D6,\[CurlyPi]
0x03F1,\[CurlyRho]
0x03D1,\[CurlyTheta]
0x00A4,\[Currency]
0x2020,\[Dagger]
0x2138,\[Dalet]
0x2013,\[Dash]
0x00B0,\[Degree]
0x2207,\[Del]
0xF7D0,\[DeleteKey]
0x03B4,\[Delta]
0x22F1,\[DescendingEllipsis]
0x010F,\[DHacek]
0x2300,\[Diameter]
0x22C4,\[Diamond]
0x2662,\[DiamondSuit]
0xF4A4,\[DifferenceDelta]
0xF74C,\[DifferentialD]
0x03DD,\[Digamma]
0xF3D5,\[DirectedEdge]
0xF4A5,\[DiscreteRatio]
0xF4A3,\[DiscreteShift]
0x00AD,\[DiscretionaryHyphen]
0xF76E,\[DiscretionaryLineSeparator]
0xF3BF,\[DiscretionaryPageBreakAbove]
